Frame,Arm Reach,Cadence,Objects,Area Size
405,0.08606093393892622,1.0,5182,414200.5
406,,1.0,4238,675069.0
407,,1.0,5057,494748.5
408,,1.0,6509,328263.0
409,0.04882984996231144,4.0,5464,378321.5
410,0.13523820322103747,1.0,5531,408641.5
411,0.10243491333130875,1.0,5279,407932.0
412,0.07754051463856543,1.0,5382,452644.5
413,0.060716513605094155,1.0,5748,432579.0
414,,1.0,5830,347096.5
415,,1.0,5704,405688.5
416,0.11574800958553871,3.0,5650,436281.5
417,,3.0,5017,423089.0
418,,3.0,4937,818862.0
419,,3.0,5310,442077.0
420,0.17778111594143037,4.0,5606,461216.5
421,,4.0,5271,649568.5
422,,4.0,7081,598411.0
423,,4.0,5651,392665.5
424,0.1626988220929043,4.0,4639,753342.5
425,0.1703877735603959,1.0,4520,667564.0
426,0.19364153643210075,1.0,4568,642804.0
427,0.19369122550013243,1.0,4331,692717.5
428,0.2022994803490519,1.0,4662,723718.0
429,0.2087919971061934,1.0,5533,625449.0
430,0.20852679387790093,1.0,5034,637623.5
431,0.20065765331043614,1.0,5276,601868.0
432,0.20515438807490427,1.0,5029,654517.0
433,0.19263607319828882,1.0,4874,579801.5
434,0.16917648085794293,1.0,5553,513538.0
435,,1.0,5452,593889.0
436,,1.0,5825,561442.5
437,0.10475823217908278,3.0,5713,589452.5
438,0.10277947772392927,1.0,4333,774551.5
439,0.12604720698720098,1.0,4351,704438.0
440,0.15382971472175586,1.0,4330,693030.0
441,0.14875672337585066,1.0,3724,734468.0
442,0.15029873007209132,1.0,3656,747441.5
443,0.18397321030685898,1.0,3673,723020.5
444,0.18267897339639605,1.0,4544,683668.0
445,0.19632271215879615,1.0,5550,337098.5
446,,1.0,5435,394748.0
447,0.21570956380548492,2.0,5709,177991.5
448,0.20966725155764795,1.0,5432,182142.5
449,0.2138563172538128,1.0,5000,207097.5
450,0.20961194284479603,1.0,4779,229144.5
451,0.21194688887298976,1.0,5046,480867.5
452,0.23998765798725827,1.0,5484,448291.5
453,0.2703374340765919,1.0,5010,649925.0
454,0.3003625414859184,1.0,4938,798645.0
455,0.34266770171271593,1.0,4826,816769.5
456,0.36820759682854887,1.0,4891,757968.5
457,0.399316008193582,1.0,5250,729171.0
458,0.42636642613403675,1.0,5299,742611.0
459,0.39904511928076297,1.0,5604,711569.0
460,0.3969416286868246,1.0,5464,779724.5
461,0.39765912471780995,1.0,5055,787421.0
462,0.4004136206606497,1.0,5259,756878.5
463,0.39899512153064287,1.0,5085,807027.5
464,0.39534444750266623,1.0,5533,774119.0
465,0.39947296304527863,1.0,5362,493528.5
466,0.35312325183257,1.0,5866,728376.5
467,0.3885407380829731,1.0,5899,435162.5
468,0.1395647402345825,1.0,6729,386406.0
469,,1.0,5451,492765.5
470,,1.0,4853,506426.0
471,,1.0,4814,641092.5
472,,1.0,5241,516354.0
473,,1.0,5783,460412.0
474,,1.0,5740,468014.0
475,,1.0,5121,412572.0
476,,1.0,4993,439401.5
477,,1.0,5018,587152.5
478,,1.0,4742,625564.0
479,,1.0,4817,613343.0
480,,1.0,5054,480106.5
481,,1.0,5414,470287.0
482,,1.0,5535,353793.0
483,,1.0,4564,376306.5
484,0.27626840795350927,16.0,7044,445774.0
485,0.21959120017937286,1.0,7301,390253.5
486,0.22716251795802506,1.0,6947,367701.5
487,0.22828279977804275,1.0,6345,501998.0
488,0.1327296614185538,1.0,4489,567584.5
489,0.0949321498737522,1.0,5839,450530.5
490,0.12729087864462751,1.0,5939,451552.0
491,0.034963604356567764,1.0,5788,413768.5
492,,1.0,5836,334759.5
493,0.09630839809937561,2.0,5568,270549.0
494,0.138253461932204,1.0,4658,539363.5
495,0.09105846489419275,1.0,4932,474485.0
496,0.006639564375077685,1.0,4218,652003.0
497,,1.0,3680,898169.0
498,,1.0,4328,950873.5
499,,1.0,4419,860309.5
500,,1.0,4480,813442.5
501,,1.0,5430,589743.0
502,,1.0,5846,593777.5
503,,1.0,5202,831689.5
504,,1.0,4736,824859.0
505,,1.0,5069,806808.0
506,,1.0,5097,819285.0
507,,1.0,5582,722234.5
508,,1.0,4960,798416.0
509,,1.0,4824,825403.5
510,,1.0,3319,1053153.0
511,0.13430001710360737,15.0,4549,682464.0
512,0.06464076270901213,1.0,4886,617771.5
513,0.05799956048494667,1.0,4561,588607.0
514,0.10197529244438966,1.0,4675,578416.5
515,0.012057674159818114,1.0,4496,581212.5
516,0.5248542524754654,1.0,4909,627393.0
517,0.498599180594047,1.0,5199,694403.5
518,0.2908219004593101,1.0,5497,630911.0
519,0.3306566565122813,1.0,5565,515878.5
520,0.3305975348635742,1.0,5901,414455.5
521,0.1687356121934705,1.0,5245,507913.5
522,0.09459660498708938,1.0,5309,500409.0
523,0.1623113960794635,1.0,4657,446954.5
524,0.12332957524392195,1.0,4826,815925.5
525,0.11270907494342637,1.0,4887,441321.0
526,0.07528193134708505,1.0,5288,774001.0
527,0.27805099051876614,1.0,5616,398943.0
528,0.3283804358364344,1.0,5389,459471.5
529,0.31589117358496294,1.0,5839,433439.5
530,0.32547038926238386,1.0,5526,432686.0
531,0.29281990955102294,1.0,5871,340584.0
532,0.2597527562135773,1.0,5443,478270.5
533,0.15659572029790333,1.0,4831,476899.5
534,0.08671623098004773,1.0,5431,462782.0
535,0.06047322206464109,1.0,5776,452221.0
536,0.07587530449948154,1.0,6048,363418.5
537,0.10667995739438957,1.0,5633,397756.0
538,0.17651242147247864,1.0,4852,842849.5
539,,1.0,4428,878387.0
540,0.2738954415395447,2.0,4471,470445.5
541,0.25371686448973574,1.0,3581,998958.0
